MetaData
Device name,Address,Record name,Start,End,Logging frequency,Ringbuffer frequency
1-01107,EA:5E:A0:E1:13:3F,,24.10.2025 16:14:56,24.10.2025 16:17:17,10.0,-
Sensor-id,0,1,2,3
Description,Ch1,Ch2,Ch3,Ch4
Unit,mA,mA,mA,mA
App version,6.3.0
App hash,appInfoView.commitShaUnknown
Firmware version,6.2.0
Firmware hash,6e2bd86
Phone model,SM-A528B
Phone OS,14




Sensordata
Time in ms,Ch1  in  mA,Ch2  in  mA,Ch3  in  mA,Ch4  in  mA,
20200,0.10731047405761274,7.668345656476504,5.303415104709984,4.0694864698939455,
20300,0.10640571847989122,7.6716415517953465,5.302880150023157,4.068254997024269,
20400,0.10536812180544075,7.667096232107269,5.300427975183538,4.085215573806636,
20500,0.10891174781818336,7.671849789190219,5.302517529732086,4.089017701413013,
20600,0.09994676893893484,7.671404592001181,5.303827989199817,4.098754594773254,
20700,0.10295184996493845,7.667247024703556,5.299910971996269,4.11093648237329,
20800,0.10396431454000776,7.666701299116994,5.301792289149944,4.1235240738633365,
20900,0.1034580822524731,7.670456752824521,5.300420794583715,4.125645941111088,
21000,0.09976366364344358,7.669210918755198,5.299972007094766,4.138158136302991,
21100,0.11037659018211343,7.670011555635483,5.299060070917221,4.148602318745816,
21200,0.11296519641837222,7.669210918755198,5.298392275133665,4.1672072528876924,
21300,0.10976623919714257,7.665667292742455,5.302169270640661,4.196173792574427,
21400,0.11292570311934469,7.670779879816564,5.302348785636241,4.208111539780475,
21500,0.11029042298423519,7.670790650716299,5.300291543786898,4.220551928974146,
21600,0.10703402096442005,7.668909333562624,5.3015481487559555,4.243572932007282,
21700,0.102011191388101,7.66592579433609,5.299727866700778,4.262461499842175,
21800,0.11005346319007003,7.670650629019747,5.298769256624382,4.256404663891317,
21900,0.10709864636282873,7.6673224210017,5.300614670778941,4.258540892338715,
22000,0.10980932279608169,7.668866249963685,5.301081409767448,4.2651829471751626,
22100,0.11312675991439392,7.667631186794097,5.304025455694955,4.2582177653466715,
22200,0.10136852770392579,7.670736796217625,5.302711405927312,4.256623672185924,
22300,0.1201206641421777,7.669792547340876,5.300787005174698,4.25920509782236,
22400,0.11593796474517148,7.667487574797633,5.299268308312094,4.264805965684445,
22500,0.10209735858597924,7.6681015160825154,5.301544558456044,4.268748114987375,
22600,0.11282158442190848,7.667132135106385,5.29935088521006,4.26621336324979,
22700,0.0975484485979905,7.671318424803303,5.302851427623864,4.2642207467988555,
22800,0.10392123094106864,7.66941915615007,5.306675097029711,4.267035541929545,
22900,0.10731765465743592,7.672050845985268,5.299595025604049,4.262881564931831,
23000,0.09997190103831599,7.669458649449098,5.301138854566034,4.257503295664264,
23100,0.10262513267298345,7.667168038105501,5.298797979023675,4.264928035881439,
23200,0.11061354997627859,7.669386843450866,5.302151319141103,4.2685470581923255,
23300,0.10502345301392779,7.670654219319658,5.301497884557193,4.265929729556774,
23400,0.10840910583056029,7.668708276767575,5.299842756297949,4.262475861041821,
23500,0.09578920164130977,7.669738692842202,5.301006013469305,4.261869100356762,
23600,0.10043145942699994,7.667904049587378,5.2987405342250895,4.262206588548452,
23700,0.11785159459805072,7.668237947479156,5.297379810558596,4.261894232456143,
23800,0.1191512831660475,7.670603955120896,5.3024923976327045,4.25111615212154,
23900,0.105339399406148,7.6710671038094915,5.300155112390257,4.2958225666207,
24000,0.1094826055041267,7.673163838957862,5.303231999414493,4.345332802401572,
24100,0.09659342882150668,7.668866249963685,5.300180244489638,4.363808485746631,
24200,0.11342475480705616,7.668959597761386,5.29970991520122,4.3855226196119474,
24300,0.11618569543907142,7.671494349498971,5.3002592310876935,4.407326510975054,
24400,0.11737049440989722,7.6683133437772995,5.299796082399098,4.447354764689408,
24500,0.10409715563673672,7.665940155535736,5.301641496553657,4.498031847941547,
24600,0.10868196862384139,7.667781979390384,5.299253947112447,4.526765018134029,
24700,0.10637699608059847,7.670033097434953,5.303138651616791,4.589965067477806,
24800,0.09823060558119323,7.6725068140740404,5.302348785636241,4.638495151382813,
24900,0.10158394569862139,7.666414075124067,5.303038123219267,4.727164788299433,
25000,0.11684990092271619,7.668029710084284,5.3017168928518,4.816118058909069,
25100,0.12014579624155886,7.669268363553783,5.298938000720227,4.88428349303058,
25200,0.11070330747406842,7.670090542233538,5.29921445381342,4.898425684382346,
25300,0.11229022003499267,7.668589796870492,5.3000474033929095,4.903441333358842,
25400,0.1137766041983923,7.668227176579421,5.300270001987428,4.896436658231323,
25500,0.11497576436886447,7.671246618805071,5.303249950914051,4.903983468645492,
25600,0.10733560615699389,7.6688518887640384,5.29880874992341,4.903021268269185,
25700,0.11013963038794827,7.668920104462359,5.301591232354895,4.900475745631866,
25800,0.10887225451915583,7.6643927362738395,5.301056277668067,4.900242376137612,
25900,0.11532043316037743,7.667049558208419,5.299918152596092,4.9040265522444315,
26000,0.11652677393067279,7.665444694147936,5.297246969461867,4.90163541250331,
26100,0.10259641027369071,7.667609644994627,5.300804956674256,4.903233095963969,
26200,0.11173013324878411,7.666690528217259,5.303892614598226,4.911580543258424,
26300,0.10320676125866157,7.670948623912409,5.298306107935787,4.904798466725424,
26400,0.1080859788385169,7.672571439472449,5.298356372134549,4.904227609039481,
26500,0.10712736876212148,7.670582413321426,5.303210457615023,4.903552632656101,
26600,0.11339962270767501,7.668306163177476,5.3019538526459655,4.902048296993144,
26700,0.10645598267865353,7.666101719031758,5.302309292337213,4.907265002764689,
26800,0.10549378230234652,7.670456752824521,5.297121308964961,4.905879146998814,
26900,0.11003551169051207,7.670277237828941,5.298420997532958,4.898501080680489,
27000,0.10358374274937887,7.670266466929206,5.299645289802811,4.9048128279250705,
27100,0.1107140783738032,7.66991461753787,5.3010096037692165,4.901865191697652,
27200,0.11891791367179394,7.668219995979598,5.301167576965327,4.905516526707743,
27300,0.1182393469885028,7.668342066176592,5.302628829029345,4.905602693905621,
27400,0.12182964690009612,7.668920104462359,5.302018478044374,4.902166776890226,
27500,0.11691452632112487,7.669422746449982,5.300270001987428,4.90377523125062,
27600,0.11104797626558138,7.666995703709745,5.30158046145516,4.9075845394568205,
27700,0.12005962904368062,7.667692221892594,5.2998966107966226,4.901279972812063,
27800,0.11605285434234247,7.667361914300727,5.302032839244021,4.908263106140112,
27900,0.10731406435752433,7.6648522946625235,5.301562509955602,4.898964229369085,
28000,0.11525221746205716,7.668123057881985,5.300553635680444,4.903635209554068,
28100,0.1159810483441106,7.670848095514884,5.301598412954718,4.90368547375283,
28200,0.11207121174038548,7.671354327802419,5.299878659297065,4.899883346146453,
28300,0.11583384604773528,7.6662201989288405,5.301128083666299,4.899599712453437,
